area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Central Asian,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: North American: Canadian,Count,Persons,4
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: North American: US Citizen,Count,Persons,10
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: North American: Other North American,Count,Persons,3
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: Central American,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: South American,Count,Persons,3
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: Caribbean: Jamaican,Count,Persons,6
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: American and Caribbean: Caribbean: Other Caribbean,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Australasian: Australian,Count,Persons,9
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Australasian: New Zealander,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Other Oceanian,Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Other,Count,Persons,5
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: British only identity,Count,Persons,5206
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: English only identity,Count,Persons,1129
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: English and British only identity,Count,Persons,1194
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity:  Welsh only identity,Count,Persons,36
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Welsh and British only identity,Count,Persons,20
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Scottish only identity,Count,Persons,38
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity:  Scottish and British only identity,Count,Persons,16
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Northern Irish only identity,Count,Persons,18
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Northern Irish and British only identity,Count,Persons,12
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Cornish only identity,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Cornish and British only identity,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Any other combination of UK identities (UK only),Count,Persons,16
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,UK identity: Other identity and at least one UK identity,Count,Persons,188
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Guernsey Islander,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Jersey Islander,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Isle of Man (Manx),Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Channel Islander not otherwise specified,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Irish only identity,Count,Persons,86
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Irish and at least one UK identity,Count,Persons,11
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: French,Count,Persons,17
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: German,Count,Persons,7
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: Italian,Count,Persons,24
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: Portuguese,Count,Persons,10
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: Spanish (including Canary Islander),Count,Persons,21
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: Other member countries in March 2001,Count,Persons,24
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries:  Lithuanian,Count,Persons,1
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries:  Polish,Count,Persons,34
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: Romanian,Count,Persons,20
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: EU countries: Other member countries,Count,Persons,29
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: Non-EU countries: Turkish,Count,Persons,4
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: European: Non-EU countries: Other European,Count,Persons,54
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: North African,Count,Persons,30
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: Central and Western African: Ghanaian,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: Central and Western African: Nigerian,Count,Persons,12
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: Central and Western African: Other Central and Western African,Count,Persons,2
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: South and Eastern African: Kenyan,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: South and Eastern African: Somali,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: South and Eastern African: South African,Count,Persons,4
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: South and Eastern African: Zimbabwean,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: African: South and Eastern African: Other South and Eastern African,Count,Persons,6
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish,Count,Persons,2
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian,Count,Persons,12
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi,Count,Persons,7
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern,Count,Persons,6
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Eastern Asian: Chinese,Count,Persons,39
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Eastern Asian: Hong Kong Chinese,Count,Persons,38
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Eastern Asian: Japanese,Count,Persons,6
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Eastern Asian: Other Eastern Asian,Count,Persons,4
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Afghan,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Indian,Count,Persons,91
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani,Count,Persons,12
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan,Count,Persons,3
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian,Count,Persons,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Filipino,Count,Persons,3
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian,Count,Persons,5
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean,Count,Persons,1
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,Count,Persons,1
